Cant muestras,ID CIAT,ID ,Cultivar,Location,Fecha,Northing,Easting,Elevation,Latitude,Longitude,DM(g/m2),%Acid Detergent Fibre,%Crude Protein,in vitro dry matter digestibility (IVDMD) ,Fresh Weight (g),Dry Weight (g),Grass Height (cm),NDVI (handheld),dry matter content (DM)%,%Ash,Neutral Detergent Acid
1,F18-1086,1,Mombaza,El Eden,9/18/2018,717023.321,1000179.967,622.002,2.021368945,-77.04332048,422.1396,34.47,7.8,64.37,426.2,116.1,100,0.84,90.9,8.31,66.87
2,F18-1087,2,Mombaza,El Eden,9/18/2018,717016.14,1000177.539,623.429,2.021345568,-77.04332834,710.91724,33.77,6.61,62.9,626.9,194.9,96,0.84,91.19,8.59,65.72
3,F18-1088,3,Mombaza,El Eden,9/18/2018,717006.798,1000181.215,623.856,2.021315151,-77.04331644,554.6772,33.55,6.27,61.14,474.5,151.8,80,0.79,91.35,6.44,65.83
4,F18-1089,4,Mombaza,El Eden,9/18/2018,717003.857,1000188.665,623.369,2.021305577,-77.04329234,482.11216,35.29,6.65,59.83,405.7,132.1,90,0.86,91.24,8.91,67.17
5,F18-1090,5,Mombaza,El Eden,9/18/2018,716995.306,1000189.415,623.301,2.021277739,-77.04328991,359.31584,30.89,9.55,65.76,335.2,98.8,70,0.83,90.92,9.51,62.08
6,F18-1091,1,Mombaza,California,9/18/2018,716941.765,996253.021,597.792,2.021103299,-77.06402794,26.20224,29.83,17.05,74.61,32.1,7.2,40,0.77,90.98,10.18,60.52
7,F18-1092,2,Mombaza,California,9/18/2018,716935.221,996244.895,597.586,2.021081991,-77.06405424,108.029,36.26,7.66,62.04,93.8,29.5,71,0.55,91.55,10.05,67.43
8,F18-1093,3,Mombaza,California,9/18/2018,716929.266,996229.595,597.512,2.021062603,-77.06410375,49.7286,34.46,7.19,59.32,39.6,13.5,105,0.44,92.09,11.77,65.11
9,F18-1094,4,Mombaza,California,9/18/2018,716938.675,996221.736,597.134,2.021093236,-77.06412918,71.28336,32.94,8.61,63.13,55.3,19.4,60,0.52,91.86,12.69,63.49
10,F18-1095,5,Mombaza,California,9/18/2018,716930.079,996211.408,597.688,2.021065249,-77.0641626,100.22376,34.91,7.26,61.95,80.4,27.3,105,0.54,91.78,12.51,64.6
11,F18-1096,1,Toledo,California,9/18/2018,716977.968,996251.727,599.663,2.021221164,-77.06403213,34.732,29.09,14.4,69.47,32.7,9.5,20,0.58,91.4,9.03,61.9
12,F18-1097,2,Toledo,California,9/18/2018,716976.581,996239.501,600.757,2.021216647,-77.06407169,349.98216,47.27,3,46.27,213.2,94.6,100,0.51,92.49,6.57,76.46
13,F18-1098,3,Toledo,California,9/18/2018,716976.791,996229.777,599.939,2.021217332,-77.06410316,13.51684,NA,10.72,69.63,16.6,3.7,20,0.53,91.33,10.67,NA
14,F18-1099,4,Toledo,California,9/18/2018,716972.155,996216.378,599.842,2.021202235,-77.06414652,35.39328,39.72,5.33,53.71,24.7,9.6,20,0.42,92.17,7.83,68.87
15,F18-1100,5,Toledo,California,9/18/2018,716966.118,996197.577,599.174,2.021182578,-77.06420736,22.387,36.01,8.38,60.56,21.7,6.1,30,0.56,91.75,10.12,67.15
16,F18-1101,1,Cayman,California,9/18/2018,716947.912,996266.127,597.703,2.021123313,-77.06398553,180.11844,34.9,4.1,56.65,130.8,49.1,40,0.52,91.71,11.19,67.54
17,F18-1102,2,Cayman,California,9/18/2018,716938.9,996267.455,598.085,2.021093971,-77.06398123,129.9158,35,4.02,54.17,90.2,35.5,40,0.49,91.49,12.07,66.9
18,F18-1103,3,Cayman,California,9/18/2018,716926.931,996273.136,598.279,2.021055005,-77.06396285,240.35688,37.23,4.2,51.79,184.5,65.7,37,0.5,91.46,10.67,69.59
19,F18-1104,4,Cayman,California,9/18/2018,716917.473,996290.329,596.703,2.021024214,-77.06390721,48.76312,27.89,9.33,65.11,44.5,13.3,35,0.64,91.66,10.24,62.41
20,F18-1105,5,Cayman,California,9/18/2018,716909.587,996307.942,598.019,2.020998541,-77.06385022,69.07572,30.59,7.72,60.65,62.6,18.9,25,0.57,91.37,11.48,62.68
21,F18-1106,1,Mulato II,Villa Paola,9/18/2018,720679.353,1002192.724,635.082,2.041271803,-77.03280712,66.98448,38.96,10.02,44.83,53.3,18.1,30,0.66,92.52,10.93,69.38
22,F18-1107,2,Mulato II,Villa Paola,9/18/2018,720683.215,1002183.929,634.799,2.041284377,-77.03283558,40.15996,32.64,9.7,57.37,29.6,10.9,34,0.59,92.11,10.22,62.99
23,F18-1108,3,Mulato II,Villa Paola,9/18/2018,720684.917,1002176.363,633.046,2.041289917,-77.03286007,56.23844,27.41,8.67,65.38,48.6,15.1,30,0.72,93.11,10.07,59.77
24,F18-1109,4,Mulato II,Villa Paola,9/18/2018,720686.869,1002168.081,633.399,2.041296272,-77.03288687,13.5864,NA,11.86,56.13,12.4,3.7,21,0.56,91.8,9.82,NA
25,F18-1110,5,Mulato II,Villa Paola,9/18/2018,720687.574,1002155.918,632.329,2.041298569,-77.03292623,50.93112,33.36,7.49,59.06,39.2,13.7,29,0.77,92.94,11.31,67.78
26,F18-1111,1,Mombaza,Villa Paola,9/18/2018,720630.788,1002260.365,635.315,2.041113687,-77.03258824,44.1552,29.5,18.72,70.54,44,12,50,0.73,91.99,10.92,60.84
27,F18-1112,2,Mombaza,Villa Paola,9/18/2018,720630.456,1002268.598,635.478,2.041112607,-77.0325616,20.68416,NA,14.3,66.69,18.6,5.6,28,0.44,92.34,10.47,NA
28,F18-1113,3,Mombaza,Villa Paola,9/18/2018,720629.799,1002275.325,636.172,2.041110465,-77.03253983,31.1916,28.53,19.89,70.34,34.9,8.5,33,0.57,91.74,10.71,61.25
29,F18-1114,4,Mombaza,Villa Paola,9/18/2018,720627.638,1002287.513,636.187,2.041103431,-77.03250039,19.47644,NA,15.82,68.99,19.5,5.3,32,0.49,91.87,10.13,NA
30,F18-1115,5,Mombaza,Villa Paola,9/18/2018,720629.271,1002301.83,637.208,2.041108747,-77.03245406,29.87928,33.13,13.39,68.41,30.1,8.1,44,0.54,92.22,11.25,63.96
31,F18-1116,1,Angleton,Atoca,9/19/2018,718739.228,1001287.667,633.853,2.030955388,-77.03573596,93.87,44.14,3,37.83,37,25,14,0.37,93.87,14.8,74.98
32,F18-1117,2,Angleton,Atoca,9/19/2018,718741.606,1001305.52,632.79,2.030963131,-77.03567819,12.6072,NA,3.18,44.35,4.2,3.4,8,0.35,92.7,13.89,NA
33,F18-1118,3,Angleton,Atoca,9/19/2018,718727.309,1001315.09,633.098,2.030916584,-77.03564722,53.1932,42.19,3.1,39.06,21.8,14.2,14,0.37,93.65,15.84,72.82
34,F18-1119,4,Angleton,Atoca,9/19/2018,718711.9,1001322.628,633.045,2.030866417,-77.03562283,56.232,43.11,2.6,37.36,20.9,15,15,0.38,93.72,19.03,73.62
35,F18-1120,5,Angleton,Atoca,9/19/2018,718695.929,1001337.781,632.516,2.030814419,-77.0355738,123.8688,44,3.1,37.69,45.8,33,27,0.35,93.84,16.9,74.27
36,F18-1121,1,Mombaza,Atoca,9/19/2018,718644.677,1001317.922,631.448,2.030647562,-77.03563806,162.51456,46.02,3.95,44.79,97.5,44.2,51,0.37,91.92,11.18,75.37
37,F18-1122,2,Mombaza,Atoca,9/19/2018,718637.034,1001307.316,631.406,2.030622679,-77.03567238,278.06124,47.45,3.82,43.91,151,75.7,73,0.35,91.83,10.41,76.23
38,F18-1123,3,Mombaza,Atoca,9/19/2018,718637.297,1001298.497,631.189,2.030623535,-77.03570092,73.02504,43.03,6.24,48.57,44.1,19.9,60,0.4,91.74,11.78,72.73
39,F18-1124,4,Mombaza,Atoca,9/19/2018,718641.91,1001288.924,630.512,2.030638553,-77.0357319,234.80952,44.96,4.83,41.34,135.4,63.8,108,0.4,92.01,12.65,73.58
40,F18-1125,5,Mombaza,Atoca,9/19/2018,718645.157,1001280.073,630.028,2.030649124,-77.03576054,184,44.13,5.11,42.64,105.3,50,103,0.39,92,11.59,73.99
41,F18-1126,1,Mulato II,Atoca,9/19/2018,718669.919,1001340.844,633.684,2.030729739,-77.03556388,267.80824,37.85,3.82,43.6,116.4,72.1,37,0.36,92.86,9.77,74.85
42,F18-1127,2,Mulato II,Atoca,9/19/2018,718673.625,1001330.105,632.321,2.030741805,-77.03559863,343.06032,37.31,3.79,42.6,148.9,91.6,40,0.34,93.63,11.43,72.74
43,F18-1128,3,Mulato II,Atoca,9/19/2018,718672.017,1001318.926,631.125,2.03073657,-77.03563481,190.82512,37.5,3.64,45.46,87.2,50.8,35,0.4,93.91,11.96,73
44,F18-1129,4,Mulato II,Atoca,9/19/2018,718687.013,1001314.82,630.014,2.030785395,-77.0356481,120.55652,36.12,5.13,47.61,63.2,32.3,33,0.32,93.31,11.46,72.62
45,F18-1130,5,Mulato II,Atoca,9/19/2018,718685.459,1001304.612,629.985,2.030780334,-77.03568113,851.13504,40.08,3.83,40.16,379.6,226.8,60,0.42,93.82,10.25,75.36
46,F18-1131,1,Toledo,Atoca,9/19/2018,718689.778,1001274.222,624.914,2.030794396,-77.03577947,316.4316,48.16,2.48,36.79,161,83.5,60,0.29,94.74,7.43,79.35
47,F18-1132,2,Toledo,Atoca,9/19/2018,718701.513,1001271.877,624.317,2.030832602,-77.03578706,395.7248,51.36,1.86,33.54,159.4,104.8,105,0.32,94.4,11.95,82.57
48,F18-1133,3,Toledo,Atoca,9/19/2018,718715.795,1001269.211,623.874,2.030879101,-77.03579569,210.56828,44.21,3.93,43.44,127.4,55.7,50,0.38,94.51,10.62,76.84
49,F18-1134,4,Toledo,Atoca,9/19/2018,718727.393,1001260.17,623.556,2.03091686,-77.03582494,355.9626,46.72,2.54,39.31,211.2,94.5,85,0.37,94.17,8.71,78.5
50,F18-1135,5,Toledo,Atoca,9/19/2018,718725.568,1001239.594,623.38,2.030910917,-77.03589153,189.06048,43.79,2.92,45.2,104.9,50.4,74,0.35,93.78,8.47,77.21
51,F18-1136,1,Angleton,Pinar del rio,9/19/2018,708299.658,994779.308,643.193,1.572967164,-77.07279603,185.7636,41.55,4.19,41.31,81.2,49.5,85,0.29,93.82,13.14,72.55
52,F18-1137,2,Angleton,Pinar del rio,9/19/2018,708290.357,994769.048,643.31,1.57293688,-77.07282923,35.72304,53.69,4.53,48.92,17.8,11.4,45,0.21,78.34,16.33,90.09
53,F18-1138,3,Angleton,Pinar del rio,9/19/2018,708277.699,994767.582,643.286,1.572895669,-77.07283397,211.11648,42.1,4.43,39.45,88.5,56.4,50,0.31,93.58,14.41,71.18
54,F18-1139,4,Angleton,Pinar del rio,9/19/2018,708265.997,994757.526,642.95,1.572857572,-77.07286651,136.58736,46.92,2.69,39.37,48.9,36.4,60,0.25,93.81,11.59,77.1
55,F18-1140,5,Angleton,Pinar del rio,9/19/2018,708291.153,994756.706,642.779,1.572939471,-77.07286916,95.2476,40.6,4.99,44.44,46.7,25.5,40,0.31,93.38,13.33,71.45
56,F18-1141,1,B.decumbes,Pinar del rio,9/19/2018,708231.75,994777.469,642.889,1.572746076,-77.07280197,269.0184,42.36,5.06,38.73,163.7,71.7,60,0.5,93.8,9.01,74.55
57,F18-1142,2,B.decumbes,Pinar del rio,9/19/2018,708229.422,994766.39,642.369,1.572738496,-77.07283782,377.83416,39.67,2.86,46.77,221.5,100.2,50,0.43,94.27,10.2,72.9
58,F18-1143,3,B.decumbes,Pinar del rio,9/19/2018,708224.607,994752.041,642.484,1.572722816,-77.07288425,118.85392,38.62,2.86,47.79,56.8,31.6,60,0.22,94.03,8.52,73.36
59,F18-1144,4,B.decumbes,Pinar del rio,9/19/2018,708212.97,994743.093,642.471,1.57268493,-77.07291321,286.7328,39.24,3.63,44.39,171.3,76,65,0.3,94.32,8.71,72.05
60,F18-1145,5,B.decumbes,Pinar del rio,9/19/2018,708204.415,994732.19,642.92,1.572657076,-77.07294848,342.25488,35.67,3.6,47.46,228.9,90.2,65,0.44,94.86,9.36,68.1
61,F18-1146,1,B.humidicola,Pinar del rio,9/19/2018,708294.505,994787.375,641.962,1.572950387,-77.07276992,91.43168,40.15,2.78,49.42,48.3,24.4,35,0.36,93.68,11.12,75.24
62,F18-1147,2,B.humidicola,Pinar del rio,9/19/2018,708284.162,994784.716,642.14,1.572916714,-77.07277853,37.97196,39.43,3.04,45.35,26.9,10.1,20,0.34,93.99,13.77,72.33
63,F18-1148,3,B.humidicola,Pinar del rio,9/19/2018,708269.221,994789.215,642.29,1.572868069,-77.07276397,44.8944,43.7,2.51,45.88,17.1,12,20,0.18,93.53,10.69,79.79
64,F18-1149,4,B.humidicola,Pinar del rio,9/19/2018,708261.86,994798.258,642.738,1.572844107,-77.07273471,146.24496,43.74,1.86,39.13,62.6,38.8,30,0.3,94.23,19.8,74.9
65,F18-1150,5,B.humidicola,Pinar del rio,9/19/2018,708252.308,994805.892,642.611,1.572813008,-77.07271,142.7432,37.15,3.18,49.52,98.2,38,35,0.47,93.91,14.09,69.88
